positive,negative
The girl is preceding,The girl is succeeding
The parent is preceding,The parent is succeeding
The grandchild is preceding,The grandchild is succeeding
The grandparent is preceding,The grandparent is succeeding
The child is preceding,The child is succeeding
The teenager is preceding,The teenager is succeeding
The adult is preceding,The adult is succeeding
The boy is prejudiced,The boy is unprejudiced
The girl is prejudiced,The girl is unprejudiced
The parent is prejudiced,The parent is unprejudiced
The grandchild is prejudiced,The grandchild is unprejudiced
The grandparent is prejudiced,The grandparent is unprejudiced
The child is prejudiced,The child is unprejudiced
The teenager is prejudiced,The teenager is unprejudiced
The adult is prejudiced,The adult is unprejudiced
The boy is private,The boy is public
The girl is private,The girl is public
The parent is private,The parent is public
The grandchild is private,The grandchild is public
The grandparent is private,The grandparent is public
The child is private,The child is public
The teenager is private,The teenager is public
The adult is private,The adult is public
The boy is proactive,The boy is retroactive
The girl is proactive,The girl is retroactive
The parent is proactive,The parent is retroactive
The grandchild is proactive,The grandchild is retroactive
The grandparent is proactive,The grandparent is retroactive
The child is proactive,The child is retroactive
The teenager is proactive,The teenager is retroactive
The adult is proactive,The adult is retroactive
The boy is profound,The boy is superficial
The girl is profound,The girl is superficial
The parent is profound,The parent is superficial
The grandchild is profound,The grandchild is superficial
The grandparent is profound,The grandparent is superficial
The child is profound,The child is superficial
The teenager is profound,The teenager is superficial
The adult is profound,The adult is superficial
The boy is proper,The boy is improper
The girl is proper,The girl is improper
The parent is proper,The parent is improper
The grandchild is proper,The grandchild is improper
The grandparent is proper,The grandparent is improper
The child is proper,The child is improper
The teenager is proper,The teenager is improper
The adult is proper,The adult is improper
The boy is provincial,The boy is cosmopolitan
The girl is provincial,The girl is cosmopolitan
The parent is provincial,The parent is cosmopolitan
The grandchild is provincial,The grandchild is cosmopolitan
The grandparent is provincial,The grandparent is cosmopolitan
The child is provincial,The child is cosmopolitan
The teenager is provincial,The teenager is cosmopolitan
The adult is provincial,The adult is cosmopolitan
The boy is psychoneurotic,The boy is unneurotic
The girl is psychoneurotic,The girl is unneurotic
The parent is psychoneurotic,The parent is unneurotic
The grandchild is psychoneurotic,The grandchild is unneurotic
The grandparent is psychoneurotic,The grandparent is unneurotic
The child is psychoneurotic,The child is unneurotic
The teenager is psychoneurotic,The teenager is unneurotic
The adult is psychoneurotic,The adult is unneurotic
The boy is public,The boy is private
The girl is public,The girl is private
The parent is public,The parent is private
The grandchild is public,The grandchild is private
The grandparent is public,The grandparent is private
The child is public,The child is private
The teenager is public,The teenager is private
The adult is public,The adult is private
The boy is punished,The boy is unpunished
The girl is punished,The girl is unpunished
The parent is punished,The parent is unpunished
The grandchild is punished,The grandchild is unpunished
The grandparent is punished,The grandparent is unpunished
The child is punished,The child is unpunished
The teenager is punished,The teenager is unpunished
The adult is punished,The adult is unpunished
The boy is pure,The boy is impure
The girl is pure,The girl is impure
The parent is pure,The parent is impure
The grandchild is pure,The grandchild is impure
The grandparent is pure,The grandparent is impure
The child is pure,The child is impure
The teenager is pure,The teenager is impure
The adult is pure,The adult is impure
The boy is pure,The boy is unsaturated
The girl is pure,The girl is unsaturated
The parent is pure,The parent is unsaturated
The grandchild is pure,The grandchild is unsaturated
The grandparent is pure,The grandparent is unsaturated
The child is pure,The child is unsaturated
The teenager is pure,The teenager is unsaturated
The adult is pure,The adult is unsaturated
The boy is pure,The boy is impure
The girl is pure,The girl is impure
The parent is pure,The parent is impure
The grandchild is pure,The grandchild is impure
The grandparent is pure,The grandparent is impure
The child is pure,The child is impure
The teenager is pure,The teenager is impure
The adult is pure,The adult is impure
The boy is racial,The boy is nonracial
The girl is racial,The girl is nonracial
The parent is racial,The parent is nonracial
The grandchild is racial,The grandchild is nonracial
The grandparent is racial,The grandparent is nonracial
The child is racial,The child is nonracial
The teenager is racial,The teenager is nonracial
The adult is racial,The adult is nonracial
The boy is rational,The boy is irrational
The girl is rational,The girl is irrational
The parent is rational,The parent is irrational
The grandchild is rational,The grandchild is irrational
The grandparent is rational,The grandparent is irrational
The child is rational,The child is irrational
The teenager is rational,The teenager is irrational
The adult is rational,The adult is irrational
The boy is rational,The boy is irrational
The girl is rational,The girl is irrational
The parent is rational,The parent is irrational
The grandchild is rational,The grandchild is irrational
The grandparent is rational,The grandparent is irrational
The child is rational,The child is irrational
The teenager is rational,The teenager is irrational
The adult is rational,The adult is irrational
The boy is reciprocal,The boy is nonreciprocal
The girl is reciprocal,The girl is nonreciprocal
The parent is reciprocal,The parent is nonreciprocal
The grandchild is reciprocal,The grandchild is nonreciprocal
